epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.857,1.90033,3.10215,1.51545,0.03195,0.43758,0.16581,0.0652,2.13858,3.12362,1.42642,0.000252199,0.000252199,0.000252199
2,711.117,1.58254,1.73748,1.30169,0.56666,0.48488,0.54156,0.25117,1.96271,1.79916,1.36344,0.000498463,0.000498463,0.000498463
3,1056.01,1.49964,1.42261,1.26566,0.6393,0.62724,0.66894,0.35126,1.71998,1.54225,1.29425,0.000734577,0.000734577,0.000734577
4,1397.89,1.45157,1.25746,1.22973,0.64247,0.68143,0.69604,0.358,2.02339,1.39328,1.43211,0.000723321,0.000723321,0.000723321
5,1738.2,1.40649,1.19046,1.2114,0.75942,0.6606,0.72339,0.44994,1.57833,1.38645,1.23422,0.000708095,0.000708095,0.000708095
6,2089.38,1.37014,1.11697,1.18574,0.79054,0.77733,0.80239,0.42944,1.81366,1.24656,1.32219,0.000692869,0.000692869,0.000692869
7,2436.8,1.36069,1.07117,1.1773,0.75332,0.76967,0.79565,0.44528,1.92129,1.27916,1.38206,0.000677643,0.000677643,0.000677643
8,2766.26,1.30711,0.99191,1.14973,0.85545,0.80417,0.82442,0.47157,1.57781,1.10729,1.19576,0.000662417,0.000662417,0.000662417
9,3112.09,1.28793,0.96109,1.13359,0.81549,0.78943,0.83006,0.44789,1.55386,1.12191,1.19335,0.00064719,0.00064719,0.00064719
10,3474.31,1.27124,0.93183,1.12418,0.77465,0.74734,0.7992,0.46959,1.58561,1.10583,1.22034,0.000631964,0.000631964,0.000631964
11,3812.44,1.26055,0.93433,1.12471,0.77231,0.73596,0.78185,0.49656,1.33328,1.20449,1.13319,0.000616738,0.000616738,0.000616738
12,4161.87,1.23492,0.8825,1.11455,0.84498,0.78414,0.83711,0.51709,1.34351,0.98556,1.12846,0.000601512,0.000601512,0.000601512
13,4557.42,1.21106,0.84859,1.0965,0.8281,0.76637,0.8033,0.48757,1.57635,1.05958,1.20758,0.000586286,0.000586286,0.000586286
14,4928.67,1.20392,0.83857,1.09275,0.83513,0.78267,0.80691,0.51868,1.36778,0.98132,1.14008,0.000571059,0.000571059,0.000571059
15,5279.26,1.16438,0.80044,1.0778,0.79795,0.81045,0.82267,0.47073,1.65215,0.99805,1.23358,0.000555833,0.000555833,0.000555833
