epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6076,1.91256,3.13549,1.52719,0.03667,0.48742,0.1954,0.08445,1.85661,3.08661,1.29781,0.000252199,0.000252199,0.000252199
2,36.4078,1.56802,1.70969,1.30078,0.63676,0.4437,0.54138,0.25084,1.96077,1.66495,1.37377,0.000498463,0.000498463,0.000498463
3,50.7478,1.50819,1.41968,1.25724,0.55215,0.62788,0.65899,0.29791,2.05725,1.36493,1.4472,0.000734577,0.000734577,0.000734577
4,64.3799,1.44293,1.2567,1.21809,0.66674,0.68341,0.72602,0.42362,1.55447,1.13848,1.21406,0.000723321,0.000723321,0.000723321
5,77.7992,1.38628,1.14188,1.18711,0.79812,0.71488,0.78537,0.45609,1.59918,1.17966,1.18388,0.000708095,0.000708095,0.000708095
6,91.3185,1.35952,1.08379,1.18014,0.74968,0.73527,0.77318,0.45933,1.5172,1.06854,1.17923,0.000692869,0.000692869,0.000692869
7,104.814,1.32312,1.025,1.15761,0.78645,0.74379,0.78616,0.45994,1.6004,1.05696,1.20134,0.000677643,0.000677643,0.000677643
8,118.245,1.30091,0.98739,1.14206,0.80855,0.77536,0.81065,0.46256,1.66692,1.04163,1.23308,0.000662417,0.000662417,0.000662417
9,132.837,1.27292,0.9495,1.13502,0.80655,0.79054,0.80849,0.46568,1.5423,1.01813,1.20327,0.00064719,0.00064719,0.00064719
10,146.461,1.24963,0.91081,1.11739,0.80659,0.78265,0.81512,0.47485,1.62349,0.9911,1.21561,0.000631964,0.000631964,0.000631964
11,160.029,1.24259,0.88699,1.11987,0.84788,0.77828,0.82076,0.50886,1.46401,0.94992,1.18598,0.000616738,0.000616738,0.000616738
12,173.351,1.21503,0.85737,1.10503,0.82305,0.78494,0.82606,0.50426,1.50825,0.91988,1.17244,0.000601512,0.000601512,0.000601512
13,186.638,1.24299,0.8689,1.11498,0.82292,0.78516,0.81691,0.51154,1.36005,0.95222,1.14383,0.000586286,0.000586286,0.000586286
14,200.267,1.20678,0.84146,1.09685,0.86497,0.78549,0.83727,0.49397,1.5032,0.96857,1.16407,0.000571059,0.000571059,0.000571059
15,213.982,1.18062,0.81156,1.08635,0.85565,0.79326,0.82061,0.51579,1.3832,0.91451,1.14066,0.000555833,0.000555833,0.000555833
16,226.999,1.1801,0.80123,1.08815,0.82967,0.79443,0.82553,0.46935,1.59785,0.96399,1.18596,0.000540607,0.000540607,0.000540607
17,240.302,1.16075,0.78634,1.07234,0.78789,0.81838,0.81706,0.51502,1.40884,0.90896,1.15005,0.000525381,0.000525381,0.000525381
18,254.021,1.14508,0.77703,1.07173,0.80251,0.83594,0.8165,0.49922,1.37461,0.91936,1.14856,0.000510155,0.000510155,0.000510155
19,267.474,1.12672,0.75224,1.06044,0.78608,0.8251,0.82632,0.51927,1.32593,0.90058,1.15161,0.000494928,0.000494928,0.000494928
20,280.754,1.13928,0.75387,1.06552,0.84708,0.78842,0.83746,0.4661,1.7945,0.96261,1.26138,0.000479702,0.000479702,0.000479702
21,293.771,1.11758,0.74128,1.05806,0.80934,0.81059,0.8317,0.5171,1.32907,0.88414,1.14086,0.000464476,0.000464476,0.000464476
22,306.707,1.11331,0.72355,1.05081,0.84657,0.76948,0.81598,0.52395,1.31547,0.87479,1.13257,0.00044925,0.00044925,0.00044925
23,319.899,1.07527,0.70114,1.03317,0.80359,0.84216,0.82682,0.52164,1.45654,0.89378,1.17838,0.000434024,0.000434024,0.000434024
24,333.013,1.0797,0.70555,1.04494,0.83144,0.80279,0.82798,0.52301,1.40579,0.8719,1.15098,0.000418797,0.000418797,0.000418797
25,346.075,1.06944,0.68893,1.03418,0.80397,0.80432,0.82221,0.5184,1.3677,0.84361,1.16349,0.000403571,0.000403571,0.000403571
26,359.134,1.05588,0.68662,1.03224,0.87053,0.78441,0.84678,0.54004,1.38785,0.8672,1.14528,0.000388345,0.000388345,0.000388345
27,372.193,1.06294,0.68235,1.03594,0.82351,0.82989,0.85869,0.55217,1.35257,0.83284,1.1449,0.000373119,0.000373119,0.000373119
28,385.239,1.04751,0.67857,1.0296,0.82815,0.82301,0.83347,0.51448,1.47623,0.89748,1.16965,0.000357893,0.000357893,0.000357893
29,399.045,1.04477,0.66588,1.02397,0.83532,0.81528,0.83072,0.52854,1.28869,0.81508,1.13276,0.000342666,0.000342666,0.000342666
30,412.701,1.04184,0.65876,1.02348,0.82253,0.8082,0.83765,0.5547,1.30318,0.86129,1.14083,0.00032744,0.00032744,0.00032744
31,426.229,1.03798,0.65115,1.01704,0.83585,0.82095,0.86369,0.57606,1.25903,0.8074,1.12723,0.000312214,0.000312214,0.000312214
32,440.478,0.99077,0.62744,0.99994,0.86802,0.79466,0.86377,0.54551,1.31736,0.82015,1.13697,0.000296988,0.000296988,0.000296988
33,453.835,1.00902,0.63919,1.01266,0.86522,0.80734,0.85857,0.54748,1.3076,0.83852,1.13068,0.000281762,0.000281762,0.000281762
34,467.795,1.00809,0.63283,1.00428,0.86383,0.83069,0.86469,0.54161,1.37184,0.84285,1.14824,0.000266535,0.000266535,0.000266535
35,481.161,0.98647,0.62902,1.01,0.82292,0.84434,0.85299,0.55342,1.32301,0.82637,1.13076,0.000251309,0.000251309,0.000251309
36,494.196,0.99204,0.62324,1.00078,0.85282,0.83047,0.86348,0.56091,1.28023,0.84061,1.13369,0.000236083,0.000236083,0.000236083
37,507.194,0.98761,0.61175,1.00125,0.86084,0.81877,0.85805,0.55487,1.31004,0.8004,1.12512,0.000220857,0.000220857,0.000220857
38,520.747,0.95291,0.60173,0.99207,0.8645,0.82065,0.851,0.55745,1.27095,0.80492,1.12887,0.000205631,0.000205631,0.000205631
39,534.379,0.96138,0.60144,0.99355,0.86788,0.79081,0.85487,0.54392,1.37474,0.82409,1.15325,0.000190404,0.000190404,0.000190404
40,547.663,0.95121,0.60015,0.99134,0.86174,0.82006,0.8555,0.54547,1.31535,0.80507,1.13334,0.000175178,0.000175178,0.000175178
41,610.406,0.90008,0.53853,0.96606,0.86421,0.81423,0.84381,0.54496,1.33059,0.83853,1.13837,0.000159952,0.000159952,0.000159952
42,623.096,0.8606,0.51236,0.945,0.84441,0.81992,0.84562,0.56652,1.26319,0.80071,1.12134,0.000144726,0.000144726,0.000144726
43,635.577,0.85209,0.50454,0.94526,0.87159,0.81931,0.85032,0.53822,1.33953,0.82418,1.14648,0.0001295,0.0001295,0.0001295
44,648.13,0.83061,0.49769,0.94278,0.86736,0.82188,0.85494,0.56114,1.22612,0.8114,1.1106,0.000114273,0.000114273,0.000114273
45,661.146,0.82501,0.48961,0.93573,0.86558,0.8183,0.8608,0.55814,1.31607,0.81207,1.13685,9.90472e-05,9.90472e-05,9.90472e-05
46,674.419,0.8234,0.48746,0.93462,0.86212,0.82919,0.86305,0.56191,1.31347,0.80346,1.12909,8.3821e-05,8.3821e-05,8.3821e-05
47,687.317,0.80923,0.48039,0.92801,0.8649,0.82416,0.86046,0.57353,1.28764,0.79684,1.14036,6.85948e-05,6.85948e-05,6.85948e-05
48,700.234,0.80969,0.48057,0.93108,0.86107,0.82399,0.86034,0.5669,1.28543,0.80264,1.13428,5.33686e-05,5.33686e-05,5.33686e-05
49,713.821,0.79308,0.47315,0.92419,0.87681,0.80815,0.85804,0.55887,1.29554,0.80423,1.12947,3.81424e-05,3.81424e-05,3.81424e-05
50,727.101,0.78816,0.47198,0.92298,0.86509,0.82129,0.85985,0.56432,1.28237,0.78938,1.12478,2.29162e-05,2.29162e-05,2.29162e-05
